"Source:","D:\Dropbox\Waterscope\PCB\LED defogger\led_defogger_PCB\UV version\led_defogger_PCB_with_UV\led_defogger_PCB_with_UV.sch"
"Date:","06/03/2021 13:48:39"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","D:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","C1","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","C2","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","C3","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","C4","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","C5","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","C6","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","D2","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","D4","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","D6","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"","","IC1","OCU-400-UE365-X-T","led_defogger_PCB_with_UV-rescue:OCU-400-UE365-X-T-LibraryLoader","OCU400UE365XT","http://uk.rs-online.com/web/p/products/1736350P","","","OCU-400-UE365-X-T OSA Opto, OCU-400 Series UV LED, 367Nm","1.1","OSA Opto","OCU-400-UE365-X-T","","","1736350P","http://uk.rs-online.com/web/p/products/1736350P"
"","","IC2","OCU-400-UE365-X-T","led_defogger_PCB_with_UV-rescue:OCU-400-UE365-X-T-LibraryLoader","OCU400UE365XT","http://uk.rs-online.com/web/p/products/1736350P","","","OCU-400-UE365-X-T OSA Opto, OCU-400 Series UV LED, 367Nm","1.1","OSA Opto","OCU-400-UE365-X-T","","","1736350P","http://uk.rs-online.com/web/p/products/1736350P"
"","","IC3","DS18B20Z+","led_defogger_PCB_with_UV-rescue:DS18B20Z+-LibraryLoader","SOIC127P600X175-8N","http://uk.rs-online.com/web/p/products/1901241","","","DS18B20Z+, 12bit Temperature Sensor +/-2C Serial 3 to 5.5V 8-Pin SOIC","1.75","Maxim Integrated","DS18B20Z+","","","1901241","http://uk.rs-online.com/web/p/products/1901241"
"","","J1","Conn_01x05_Female","Connector:Conn_01x06_Female","Connector_JST:JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical","~","","","","","","","","","",""
"","","Q1","NTMS4807NR2G","SamacSys_Parts:NTMS4807NR2G","SOIC127P600X175-8N","http://www.onsemi.com/pub/Collateral/NTMS4807N-D.PDF","NTMS4807NR2G","https://www.arrow.com/en/products/ntms4807nr2g/on-semiconductor","Power MOSFET","1.75","ON Semiconductor","NTMS4807NR2G","863-NTMS4807NR2G","https://www.mouser.com/Search/Refine.aspx?Keyword=863-NTMS4807NR2G","",""
"","","R1","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R2","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R3","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R4","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R5","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R6","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R7","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R8","R","Device:R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","","","",""
"","","R9","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R10","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R12","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R13","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R14","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R15","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R16","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R17","500","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","6","C1, C2, C3, C4, C5, C6","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"2","6","D1, D2, D3, D4, D5, D6","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","","",""
"3","2","IC1, IC2","OCU-400-UE365-X-T","led_defogger_PCB_with_UV-rescue:OCU-400-UE365-X-T-LibraryLoader","OCU400UE365XT","http://uk.rs-online.com/web/p/products/1736350P","","","OCU-400-UE365-X-T OSA Opto, OCU-400 Series UV LED, 367Nm","1.1","OSA Opto","OCU-400-UE365-X-T","","","1736350P","http://uk.rs-online.com/web/p/products/1736350P"
"4","1","IC3","DS18B20Z+","led_defogger_PCB_with_UV-rescue:DS18B20Z+-LibraryLoader","SOIC127P600X175-8N","http://uk.rs-online.com/web/p/products/1901241","","","DS18B20Z+, 12bit Temperature Sensor +/-2C Serial 3 to 5.5V 8-Pin SOIC","1.75","Maxim Integrated","DS18B20Z+","","","1901241","http://uk.rs-online.com/web/p/products/1901241"
"5","1","J1","Conn_01x05_Female","Connector:Conn_01x06_Female","Connector_JST:JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical","~","","","","","","","","","",""
