Designator,Mid X,Mid Y,Rotation,Layer
C1,203.6,-110,270,T
C2,210.85,-99.04,90,T
C3,207.24,-88.96,120,T
C4,198.55,-87.25,90,T
C5,186.16,-86.5,180,T
C6,179.71,-105.94,300,T
D1,193.54,-110.05,0,T
D2,183.3,-104.37,300,T
D3,183.52,-91.18,240,T
D4,193.82,-85.55,180,T
D5,203.71,-90.61,120,T
D6,204.51,-103.9,60,T
IC1,206.34,-97.52,180,T
IC2,181.4,-97.74,0,T
IC3,175,-103,90,T
R1,193.67,-105.37,180,T
R2,200.3,-101.52,60,T
R3,200.12,-93.38,120,T
R4,187.26,-101.77,300,T
R5,193.79,-89.99,0,T
R6,187.31,-93.61,240,T
R9,209.82,-93.55,90,T
R10,178,-94.6,180,T
