Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x05_Female,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,193.8,-114.8,0,bottom
C1,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,203.6,-110,270,top
C2,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,210.85,-99.04,90,top
C3,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,207.24,-88.96,120,top
C4,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,198.55,-87.25,90,top
C5,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.16,-86.5,180,top
C6,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.71,-105.94,300,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,193.54,-110.05,180,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.3,-104.37,120,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.52,-91.18,60,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,193.82,-85.55,0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.71,-90.61,300,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.51,-103.9,240,top
IC1,OCU-400-UE365-X-T,OCU400UE365XT,206.34,-97.52,180,top
IC2,OCU-400-UE365-X-T,OCU400UE365XT,181.4,-97.74,0,top
IC3,DS18B20Z+,SOIC127P600X175-8N,175,-103,90,top
R1,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,193.67,-105.37,180,top
R2,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,200.3,-101.52,60,top
R3,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,200.12,-93.38,120,top
R4,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,187.26,-101.77,300,top
R5,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,193.79,-89.99,0,top
R6,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,187.31,-93.61,240,top
R9,R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.82,-93.55,90,top
R10,R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,178,-94.6,180,top
