Designator,Mid X,Mid Y,Rotation,Layer
C1,125.65,-135.41,90,T
C2,119.05,-112.01,90,T
C3,149.45,-145.71,0,T
C4,151.65,-133.81,90,T
C7,155.6,-121.2,90,T
C8,133,-114.25,270,T
C9,134.09166,-124.01,180,T
C10,125.95,-145.81,270,T
C11,123.75,-145.8,90,T
C12,137.65,-122.51,0,T
C13,155.05,-133.81,90,T
C14,137.65,-124.21,0,T
C15,140.45,-138.41,270,T
C16,127.65,-135.31,90,T
C17,132.05,-137.81,270,T
C18,152.25,-122.61,270,T
C19,136.95,-112.11,180,T
C20,154.15,-145.71,0,T
C21,137,-115.5,180,T
J3,114.25,-120.51,270,T
J5,163.45,-135.81,90,T
J7,153.05,-100.81,180,T
J8,130.85,-101.41,180,T
J10,114.25,-133.51,270,T
J11,164.85,-118.01,90,T
J13,143.05,-153.41,0,T
Q1,149.95,-139.2,0,T
Q2,142.45,-145.01,0,T
Q3,118.35964,-142.53434,0,T
Q4,118.85,-156.01,90,T
Q5,118.35964,-149.95262,0,T
Q6,118.35964,-146.21,0,T
R1,145.45,-140.61,270,T
R2,137.05,-146.01,0,T
R3,115.85,-142.75,270,T
R4,121,-143.01,90,T
R5,115.85,-150.01,270,T
R6,122.75,-156.91,180,T
R7,121,-150.61,90,T
R8,115.85,-146.38,270,T
R9,122.85,-143.01,90,T
R10,114.15,-157.11,180,T
R11,130.15,-112.51,180,T
R12,130.15,-110.31,180,T
R13,120.85,-116.41,90,T
R14,120.85,-118.51,90,T
R15,137.05,-147.21,0,T
R16,157.65,-139.01,270,T
R17,153.45,-148.81,90,T
R18,157.85,-148.81,270,T
U1,134.8435,-130.45226,90,T
USB1,156.05,-158.41,0,T
Y1,136.65,-138.61,0,T
