Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,121,-69.25,90,top
C2,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,122.428,-50.292,180,top
C3,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.541,-50.75,0,top
C4,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.113,-49.911,0,top
C5,0.1uF,C_0603_1608Metric,134.112,-59,180,top
C7,0.1uF,C_0603_1608Metric,122.678,-48.292,180,top
C9,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,115.951,-64.008,-90,top
C10,0.1uF,C_0603_1608Metric,121,-66,-90,top
C11,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,120.269,-58.293,90,top
C12,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.287,-53.086,0,top
C13,0.1uF,C_0603_1608Metric,137.033,-54.991,0,top
D1,D_Schottky,D_SMA,137.541,-60,-90,top
IC1,FP6291,SOT95P280X145-6N,120,-62,180,top
J1,USB-C-TH_TYPE-C-USB-14P,USB-C-TH_TYPE-C-USB-14P,129.032,-49.418,0,top
L1,SMMS1040-3R3M,INDPM115100X400N,129,-66,0,top
R1,10K,R_0402_1005Metric,118,-65.515,-90,top
R4,190K,R_0603_1608Metric,123,-59.25,0,top
R5,10K,R_0402_1005Metric,122.25,-57.75,0,top
R6,5.1k,R_0402_1005Metric,129.54,-46.116,180,top
R7,5.1K,R_0402_1005Metric,131.064,-52.974,0,top
