### Module positions - created on 11/08/21 08:43:37 ###
### Printed by Pcbnew version kicad (5.1.10)-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                      Designator                                           MidX       MidY       Rotation  Layer
C1        0.1uF                    C_0603_1608Metric                             121.0000   -72.2500   90.0000  top
C2        20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   122.7500   -50.2500  180.0000  top
C3        20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   138.0000   -53.7500    0.0000  top
C4        20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   142.5000   -63.0000  270.0000  top
C5        0.1uF                    C_0603_1608Metric                             134.2500   -62.0000  180.0000  top
C7        0.1uF                    C_0603_1608Metric                             123.0000   -48.2500  180.0000  top
C9        20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   116.0000   -65.0000  270.0000  top
C10       0.1uF                    C_0603_1608Metric                             121.0000   -69.0000  270.0000  top
C11       20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   119.2500   -62.0000    0.0000  top
C12       20uF                     C_0805_2012Metric_Pad1.15x1.40mm_HandSolder   138.0000   -56.0000    0.0000  top
C13       0.1uF                    C_0603_1608Metric                             138.0000   -58.0000    0.0000  top
D1        D_Schottky               D_SMA                                         138.0000   -63.0000  270.0000  top
IC1       FP6291                   SOT95P280X145-6N                              120.0000   -65.0000  180.0000  top
J1        USB-C-TH_TYPE-C-USB-14P  USB-C-TH_TYPE-C-USB-14P                       129.0320   -42.4180    0.0000  top
L1        SMMS1040-3R3M            INDPM115100X400N                              129.0000   -69.0000    0.0000  top
R1        10K                      R_0402_1005Metric                             118.0000   -68.5150  270.0000  top
R4        190K                     R_0603_1608Metric                             123.0000   -62.2500    0.0000  top
R5        10K                      R_0402_1005Metric                             122.2500   -60.7500    0.0000  top
R6        5.1k                     R_0402_1005Metric                             129.5400   -39.1160  180.0000  top
R7        5.1K                     R_0402_1005Metric                             131.0640   -45.9740    0.0000  top
## End
