Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,167.513,-131.191,180,top
C2,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.449,-133.223,180,top
C3,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.276,-120.142,0,top
C4,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.276,-122.174,0,top
C5,0.1uF,C_0603_1608Metric,176.657,-118.364,0,top
C6,0.1uF,C_0603_1608Metric,163.576,-131.318,180,top
C7,0.1uF,C_0603_1608Metric,129.286,-110.49,0,top
C8,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.211,-136.525,90,top
C9,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.667,-108.712,0,top
C10,0.1uF,C_0603_1608Metric,165.481,-94.361,-90,top
C11,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.576,-94.742,-90,top
C12,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161.925,-77.47,90,top
C13,0.1uF,C_0603_1608Metric,158.496,-77.851,90,top
C14,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.461,-102.108,180,top
C15,0.1uF,C_0603_1608Metric,160.147,-77.851,90,top
C16,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,156.718,-77.47,90,top
C17,0.1uF,C_0603_1608Metric,132.715,-104.013,180,top
D1,D_Schottky,D_SMA,173.99,-127,-90,top
IC1,FP6291,SOT95P280X145-6N,169.291,-128.27,-90,top
J1,Conn_01x02_Male,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,126.111,-102.108,-90,top
L1,SMMS1040-3R3M,INDPM115100X400N,172.085,-137.414,0,top
LED1,F.35.00041,F3500041,174.800465,-113.378076,180,top
LED2,F.35.00041,F3500041,174.800552,-93.378076,0,top
LED3,F.35.00041,F3500041,157.480088,-83.378,180,top
LED4,F.35.00041,F3500041,140.159536,-93.377924,180,top
LED5,F.35.00041,F3500041,140.159448,-113.377924,180,top
LED6,F.35.00041,F3500041,157.479913,-123.378,180,top
LED7,F.35.00041,F3500041,157.607,-103.251,90,top
LED8,F.35.00041,F3500041,137.668,-135.255,180,top
LED9,F.35.00041,F3500041,139.034282,-71.303645,180,top
LED10,F.35.00041,F3500041,194.48,-103.505,0,top
R1,10K,R_0402_1005Metric,171.577,-129.921,-90,top
R2,5.1K,R_0402_1005Metric,156.337,-137.046,0,top
R3,5.1k,R_0402_1005Metric,158.877,-137.046,0,top
R4,180k,R_0603_1608Metric,169.291,-125.349,0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,166.751,-127.635,90,top
R6,37.4,R_1206_3216Metric,169.545,-93.472,0,top
R7,100,R_1206_3216Metric,144.399,-113.919,90,top
R8,100,R_1206_3216Metric,140.335,-131.191,180,top
R9,100,R_1206_3216Metric,143.256,-72.009,90,top
R10,100,R_1206_3216Metric,175.133,-98.044,180,top
R11,100,R_1206_3216Metric,191.643,-107.569,0,top
R27,100,R_1206_3216Metric,177.419,-108.966,180,top
R30,100,R_1206_3216Metric,161.417,-83.82,90,top
R31,100,R_1206_3216Metric,145.415,-92.329,180,top
R33,37.4,R_1206_3216Metric,156.591,-108.585,90,top
R34,100,R_1206_3216Metric,161.417,-123.952,90,top
R35,100,R_1206_3216Metric,159.004,-108.585,90,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,157.607,-149.492,0,top
