Comment,Designator,Footprint,LCSC
0.1uF,"C1,C5,C6,C7,C10,C13,C15,C17",C_0603_1608Metric, C14663
20uF,"C2,C3,C4,C8,C9,C11,C12,C14,C16",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C45783
D_Schottky,D1,D_SMA, C383313
FP6291,IC1,SOT95P280X145-6N,C18701
SMMS1040-3R3M,L1,INDPM115100X400N, C149592
F.35.00041,"LED1,LED2,LED3,LED4,LED5,LED6",F3500041,C909692
10K,"R1,R5",R_0402_1005Metric, C25744
100,"R10,R27,R30,R31,R34,R35",R_1206_3216Metric, C17901
66,"R14,R15,R16,R20,R21,R22,R23,R24,R25",R_2512_6332Metric,C44304
5.1K,R2,R_0402_1005Metric,C25905
5.1k,R3,R_0402_1005Metric,C25905
190K,R4,R_0603_1608Metric, C22932
37.4,"R6,R26,R28,R29,R32,R33",R_1206_3216Metric,C247280
33,"R7,R8,R9,R11,R12,R13,R17,R18,R19",R_2512_6332Metric,C22788
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering,C165948
