Designator,Qnty,Comment,Footprint,LCSC
"C1, C5, C6, C7, C10, C13, C15, C17, ",8,0.1uF,C_0603_1608Metric, C14663
"C2, C3, C4, C8, C9, C11, C12, C14, C16, ",9,20uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C45783
"D1, ",1,D_Schottky,Diode_SMD:D_SMA, C383313
"IC1, ",1,FP6291,SOT95P280X145-6N,C18701
"L1, ",1,SMMS1040-3R3M,INDPM115100X400N, C149592
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, ",10,F.35.00041,F3500041,C688876
R1,1,10K,R_0402_1005Metric, C25744
R5,1,10K,R_0603_1608Metric,C394535
"R2, R3",1,5.1K,R_0402_1005Metric,C25905
"R4, ",1,180k,R_0603_1608Metric,C326731
"R6, R33, ",2,37.4,R_1206_3216Metric,C247280
"R7, R8, R9, R10, R11, R27, R30, R31, R34, R35, ",10,14,R_1206_3216Metric,C368135
"USB1, ",1,HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,C165948
"J1,",1,JST XH,JST-XH-S2B,C157931
